,WT_1,KO_1,WT_2,KO_2,WT_3,KO_3
ENSMUSG00000043472,0,0,0,0,0,0
ENSMUSG00000065665,0,0,0,0,0,0
ENSMUSG00000074433,0,0,0,0,0,0
ENSMUSG00000068885,0,0,0,0,0,0
ENSMUSG00000027913,0,0,0,0,0,0
ENSMUSG00000027912,0,0,0,0,0,0
ENSMUSG00000104298,0,0,0,0,0,0
ENSMUSG00000096879,0,0,0,0,0,0
ENSMUSG00000103628,0,0,0,0,0,0
ENSMUSG00000078657,0,0,0,0,0,0
ENSMUSG00000103902,0,0,0,0,0,0
ENSMUSG00000049133,0,0,0,0,0,0
ENSMUSG00000102609,0,0,0,0,0,0
ENSMUSG00000102439,0,0,0,0,0,0
ENSMUSG00000081640,2,2,4,1,4,1
ENSMUSG00000102485,0,0,0,0,0,0
ENSMUSG00000103273,0,0,0,0,0,0
ENSMUSG00000102476,0,0,0,0,0,0
ENSMUSG00000041991,0,0,0,0,0,0
ENSMUSG00000106242,0,0,0,0,0,0
ENSMUSG00000103765,0,0,0,0,0,0
ENSMUSG00000041984,0,0,0,0,0,0
ENSMUSG00000104171,0,0,0,0,0,0
ENSMUSG00000076037,0,0,0,0,0,0
ENSMUSG00000057829,3,5,8,1,2,2
ENSMUSG00000052415,10,21,9,25,19,20
ENSMUSG00000027908,0,0,0,0,0,0
ENSMUSG00000104135,0,0,0,0,0,0
ENSMUSG00000027907,78,122,89,118,36,203
ENSMUSG00000103031,0,0,0,0,0,0
ENSMUSG00000041959,445,868,689,1386,385,1302
ENSMUSG00000103406,0,0,0,0,0,0
ENSMUSG00000104470,0,0,0,0,0,0
ENSMUSG00000103362,0,0,0,0,0,0
ENSMUSG00000094084,0,0,0,0,0,0
ENSMUSG00000104144,0,0,0,0,0,0
ENSMUSG00000103350,0,0,0,0,0,0
ENSMUSG00000104229,0,0,0,0,0,0
ENSMUSG00000102511,0,0,0,0,0,0
ENSMUSG00000103210,0,0,0,0,0,0
ENSMUSG00000068879,0,0,0,0,0,0
ENSMUSG00000060256,0,0,0,0,0,0
ENSMUSG00000058005,0,0,0,0,0,0
ENSMUSG00000103512,0,0,0,0,0,0
ENSMUSG00000102169,0,0,0,0,0,0
ENSMUSG00000102933,0,0,0,0,0,0
ENSMUSG00000102769,0,0,0,0,0,0
ENSMUSG00000095822,0,0,0,0,0,0
ENSMUSG00000102445,0,0,0,0,0,0
ENSMUSG00000094163,0,0,0,0,0,0
ENSMUSG00000103841,0,0,0,0,0,0
ENSMUSG00000102804,0,0,0,0,0,0
ENSMUSG00000104460,0,0,0,0,0,0
ENSMUSG00000104059,0,0,0,0,0,0
ENSMUSG00000102857,0,0,0,0,0,0
ENSMUSG00000094328,0,0,0,0,0,0
ENSMUSG00000102655,0,0,0,0,0,0
ENSMUSG00000095251,0,0,0,0,0,0
ENSMUSG00000102696,0,0,0,0,0,0
ENSMUSG00000103239,0,0,0,0,0,0
ENSMUSG00000102462,0,0,0,0,0,0
ENSMUSG00000104338,0,0,0,0,0,0
ENSMUSG00000102949,0,0,0,0,0,0
ENSMUSG00000102311,0,0,0,0,0,0
ENSMUSG00000102285,0,0,0,0,0,0
ENSMUSG00000089826,0,0,0,0,0,0
ENSMUSG00000074424,0,0,0,0,0,0
ENSMUSG00000090268,0,0,0,0,0,0
ENSMUSG00000090111,0,0,0,0,0,0
ENSMUSG00000089689,0,0,0,0,0,0
ENSMUSG00000089893,0,0,0,0,0,0
ENSMUSG00000089696,0,0,0,0,0,0
ENSMUSG00000089891,0,0,0,0,0,0
ENSMUSG00000028145,599,796,477,487,846,782
ENSMUSG00000105506,4,0,4,5,8,9
ENSMUSG00000028148,1,1,0,0,0,0
ENSMUSG00000105708,2,1,0,1,0,1
ENSMUSG00000091648,18,4,5,8,10,22
ENSMUSG00000104669,1,1,0,0,1,1
ENSMUSG00000028150,1266,1156,2282,2073,1564,1764
ENSMUSG00000105391,0,1,1,1,2,0
ENSMUSG00000044505,10,27,22,20,11,22
ENSMUSG00000097515,0,0,0,1,2,0
ENSMUSG00000041912,105,113,138,133,86,70
ENSMUSG00000106032,1,2,1,0,0,0
ENSMUSG00000104756,0,2,0,0,0,0
ENSMUSG00000028141,5,5,4,5,3,7
ENSMUSG00000028140,815,799,833,682,997,822
ENSMUSG00000104695,0,0,0,0,0,0
ENSMUSG00000028139,0,0,1,0,1,0
ENSMUSG00000028137,3,6,0,1,0,0
ENSMUSG00000028136,903,902,917,944,1047,947
ENSMUSG00000106061,0,0,0,0,0,0
ENSMUSG00000104631,0,0,0,1,0,0
ENSMUSG00000105412,0,0,0,0,0,0
ENSMUSG00000105522,0,0,0,0,0,0
ENSMUSG00000062896,16,5,9,15,14,6
ENSMUSG00000005968,186,161,741,617,351,312
ENSMUSG00000078655,0,4,0,0,0,0
ENSMUSG00000085250,1,0,2,5,1,2
ENSMUSG00000085006,59,34,40,49,53,30
ENSMUSG00000068877,5282,2494,7749,4511,10769,3107
ENSMUSG00000081355,0,0,5,7,2,8
ENSMUSG00000104881,0,0,0,0,0,0
ENSMUSG00000068876,1413,1067,2031,1763,1562,1167
ENSMUSG00000084058,0,0,0,0,0,0
ENSMUSG00000038902,723,780,828,848,749,837
ENSMUSG00000005779,2853,2347,2936,2938,2772,2637
ENSMUSG00000087720,0,0,0,0,0,0
ENSMUSG00000068874,8615,8566,7546,9863,7527,11863
ENSMUSG00000005774,404,251,455,535,312,324
ENSMUSG00000087660,0,0,0,0,2,0
ENSMUSG00000038861,1027,887,1057,951,1046,1035
ENSMUSG00000084846,8,19,5,10,7,10
ENSMUSG00000086288,8,19,13,4,17,9
ENSMUSG00000099033,1,0,0,0,1,0
ENSMUSG00000019338,576,399,658,558,620,580
ENSMUSG00000085956,7,18,14,26,22,17
ENSMUSG00000005625,2661,2164,2924,2836,2843,2620
ENSMUSG00000028126,602,604,667,511,668,613
ENSMUSG00000064952,0,0,0,0,0,0
ENSMUSG00000064590,0,0,0,1,0,0
ENSMUSG00000008958,514,384,593,532,474,534
ENSMUSG00000005628,0,4,24,35,14,17
ENSMUSG00000092607,317,325,193,149,232,226
ENSMUSG00000053769,155,118,119,136,194,188
ENSMUSG00000098498,0,0,0,0,0,0
ENSMUSG00000013707,50,109,24,38,20,45
ENSMUSG00000098198,0,1,2,1,1,5
ENSMUSG00000038777,16,13,10,8,9,7
ENSMUSG00000038766,1559,1503,1455,1261,1527,1114
ENSMUSG00000097167,5,11,2,5,11,16
ENSMUSG00000053192,29,54,21,26,29,29
ENSMUSG00000046722,584,519,615,511,511,725
ENSMUSG00000068860,0,0,1,1,0,1
ENSMUSG00000028115,1,0,0,1,0,1
ENSMUSG00000015711,517,438,586,526,573,700
ENSMUSG00000038712,3057,1838,3221,3029,3393,2747
ENSMUSG00000015702,23,30,34,15,11,43
ENSMUSG00000093424,3,8,1,3,3,2
ENSMUSG00000015714,11697,10397,13353,13567,11356,11373
ENSMUSG00000015697,1076,996,1145,985,1123,995
ENSMUSG00000105860,0,1,0,0,0,0
ENSMUSG00000103900,2,1,1,2,0,1
ENSMUSG00000105734,0,0,0,0,0,0
ENSMUSG00000096177,0,0,0,0,0,0
ENSMUSG00000104646,0,0,2,0,0,0
ENSMUSG00000097532,2,0,0,0,0,0
ENSMUSG00000015522,1893,1733,1822,2099,1898,1833
ENSMUSG00000105395,5,8,2,5,2,1
ENSMUSG00000028111,9,15,4,15,8,5
ENSMUSG00000038642,1344,2211,529,585,191,928
ENSMUSG00000083822,2,0,0,0,2,1
ENSMUSG00000028109,0,2,0,2,0,0
ENSMUSG00000046519,305,459,386,328,197,143
ENSMUSG00000105460,0,0,0,0,1,0
ENSMUSG00000060438,8,14,30,14,16,17
ENSMUSG00000038619,1140,1102,1107,1248,1088,1147
ENSMUSG00000106383,1,5,3,4,2,1
ENSMUSG00000038612,4471,5879,3414,4238,3424,4590
ENSMUSG00000015850,74,95,33,34,15,38
ENSMUSG00000028108,2262,2614,1236,996,439,876
ENSMUSG00000098737,0,0,0,0,0,0
ENSMUSG00000028107,866,790,989,941,893,833
ENSMUSG00000028106,1141,1103,1087,1083,1199,1037
ENSMUSG00000104967,0,1,0,0,0,0
ENSMUSG00000089493,0,0,0,0,0,0
ENSMUSG00000105093,0,0,2,0,0,0
ENSMUSG00000015748,374,509,512,469,344,415
ENSMUSG00000097189,0,5,0,0,0,8
ENSMUSG00000054312,316,347,298,372,330,366
ENSMUSG00000080727,12,5,5,6,10,6
ENSMUSG00000038550,114,108,19,21,68,278
ENSMUSG00000038543,5,7,1,6,1,6
ENSMUSG00000015750,2196,1622,2207,2053,2429,2245
ENSMUSG00000038526,1680,1111,1482,1043,1557,1382
ENSMUSG00000015749,674,726,731,765,548,588
ENSMUSG00000106262,1,0,1,1,4,0
ENSMUSG00000106640,0,0,0,0,0,0
ENSMUSG00000015745,179,304,125,79,48,136
ENSMUSG00000015747,304,266,356,351,260,286
ENSMUSG00000105995,0,0,0,0,0,0
ENSMUSG00000038495,1063,1336,1251,1372,1267,1416
ENSMUSG00000045934,23,61,265,350,183,278
ENSMUSG00000097204,44,41,28,57,54,46
ENSMUSG00000068856,766,658,761,725,673,624
ENSMUSG00000084686,0,0,0,0,2,1
ENSMUSG00000038486,0,1,0,0,1,0
ENSMUSG00000015943,357,308,380,393,352,402
ENSMUSG00000086556,0,0,0,0,0,0
ENSMUSG00000063689,1,1,0,0,0,0
ENSMUSG00000068855,1,0,4,3,4,0
ENSMUSG00000106431,0,0,0,0,0,0
ENSMUSG00000068854,109,211,98,147,115,146
ENSMUSG00000081058,5,24,10,23,6,24
ENSMUSG00000093577,46,52,113,205,56,127
ENSMUSG00000063954,0,0,0,0,0,0
ENSMUSG00000106587,0,0,0,0,0,0
ENSMUSG00000093553,12,3,29,26,22,22
ENSMUSG00000064220,0,0,0,0,0,0
ENSMUSG00000070392,0,1,0,0,0,4
ENSMUSG00000105610,0,0,0,0,0,0
ENSMUSG00000093769,0,0,0,0,0,0
ENSMUSG00000093507,2,8,4,12,2,11
ENSMUSG00000091405,5,46,6,41,6,26
ENSMUSG00000103940,0,1,0,3,1,1
ENSMUSG00000093656,0,3,0,7,1,3
ENSMUSG00000074403,0,0,0,0,0,0
ENSMUSG00000050936,0,0,18,24,6,13
ENSMUSG00000105827,0,0,0,0,0,0
ENSMUSG00000015947,132,214,112,94,27,84
ENSMUSG00000095701,0,0,0,0,0,0
ENSMUSG00000097851,0,0,0,0,0,0
ENSMUSG00000097807,0,0,0,0,0,0
ENSMUSG00000095580,0,0,0,0,0,0
ENSMUSG00000093834,0,0,0,0,0,0
ENSMUSG00000097420,0,0,0,0,0,0
ENSMUSG00000097753,0,0,0,0,0,0
ENSMUSG00000097539,0,0,0,0,0,0
ENSMUSG00000097299,0,0,0,0,0,0
ENSMUSG00000097041,0,0,0,0,0,0
ENSMUSG00000095836,2,1,0,1,4,5
ENSMUSG00000064796,3,0,3,1,1,0
ENSMUSG00000095513,0,0,0,0,0,0
ENSMUSG00000046317,0,0,0,0,0,0
ENSMUSG00000096838,0,0,0,0,0,0
ENSMUSG00000104642,2,5,1,9,1,0
ENSMUSG00000106429,0,0,0,0,0,0
ENSMUSG00000065773,0,0,0,0,0,0
ENSMUSG00000106641,0,3,0,0,0,0
ENSMUSG00000098392,0,0,0,0,0,0
ENSMUSG00000095260,0,0,0,0,0,0
ENSMUSG00000094812,0,0,0,0,0,0
ENSMUSG00000038403,2306,1510,2214,2269,2823,2755
ENSMUSG00000074398,0,6,1,2,2,1
ENSMUSG00000038393,2232,4004,1003,2528,1794,1205
ENSMUSG00000087610,1,2,1,4,5,4
ENSMUSG00000028104,271,365,233,384,309,428
ENSMUSG00000049097,0,1,0,0,0,1
ENSMUSG00000049288,150,165,83,105,98,157
ENSMUSG00000045327,13,14,2,1,6,6
ENSMUSG00000038374,882,679,845,753,643,706
ENSMUSG00000028102,316,277,240,247,389,331
ENSMUSG00000106447,0,0,0,0,0,0
ENSMUSG00000090210,18,30,18,8,22,22
ENSMUSG00000105144,0,1,1,0,0,0
ENSMUSG00000038354,0,0,1,3,0,3
ENSMUSG00000028101,229,178,231,204,273,299
ENSMUSG00000028100,2,1,6,4,1,8
ENSMUSG00000028099,944,837,963,1029,1085,1086
ENSMUSG00000065669,0,2,0,1,0,0
ENSMUSG00000104795,2,5,0,3,2,0
ENSMUSG00000028098,1202,1111,1286,1122,1188,1292
ENSMUSG00000105976,0,0,2,1,0,1
ENSMUSG00000038304,1,8,5,4,0,2
ENSMUSG00000038298,1651,1214,1821,1487,1306,1445
ENSMUSG00000087223,2,1,8,1,2,5
ENSMUSG00000028096,950,732,953,914,1055,814
ENSMUSG00000057123,0,0,0,0,0,3
ENSMUSG00000049908,0,0,0,2,0,0
ENSMUSG00000105385,0,0,0,0,0,0
ENSMUSG00000104766,0,0,0,0,0,1
ENSMUSG00000106324,0,0,0,0,0,0
ENSMUSG00000088511,0,0,0,0,0,0
ENSMUSG00000028093,1009,889,1084,1167,1140,990
ENSMUSG00000038256,234,154,239,248,270,318
ENSMUSG00000106536,0,0,0,0,0,0
ENSMUSG00000104745,0,0,0,0,0,0
ENSMUSG00000051392,0,0,0,0,0,0
ENSMUSG00000028089,490,497,437,510,465,510
ENSMUSG00000105004,4,5,4,1,4,0
ENSMUSG00000028088,24846,38329,18174,24407,29951,32552
ENSMUSG00000038205,60,88,59,44,43,41
ENSMUSG00000090441,0,0,0,0,0,0
ENSMUSG00000038170,4677,4666,4613,4406,4939,3899
ENSMUSG00000098381,0,0,0,0,0,0
ENSMUSG00000105245,4,10,1,8,8,2
ENSMUSG00000086557,0,0,0,0,0,1
ENSMUSG00000027879,1397,1574,1497,1418,1066,1110
ENSMUSG00000074388,1,1,1,1,4,0
ENSMUSG00000027878,3231,2950,3822,3650,3395,3011
ENSMUSG00000105728,0,0,0,0,2,0
ENSMUSG00000106427,2,2,1,3,2,0
ENSMUSG00000043468,0,0,1,3,0,0
ENSMUSG00000106486,0,0,0,0,0,0
ENSMUSG00000027876,0,2,1,3,2,4
ENSMUSG00000104842,0,0,0,0,0,0
ENSMUSG00000027875,98825,94274,107226,104355,142424,104429
ENSMUSG00000105909,91,167,118,135,141,51
ENSMUSG00000053398,26,14,30,20,43,8
ENSMUSG00000050064,104,120,81,69,57,67
ENSMUSG00000090817,0,0,0,0,0,0
ENSMUSG00000106107,0,0,0,1,0,0
ENSMUSG00000106129,0,0,0,0,0,0
ENSMUSG00000095143,0,0,0,0,0,0
ENSMUSG00000105696,0,0,0,0,0,0
ENSMUSG00000095388,0,0,0,0,0,0
ENSMUSG00000105641,8,4,7,1,3,0
ENSMUSG00000106456,8,0,4,0,1,0
ENSMUSG00000038092,39,10,98,22,59,6
ENSMUSG00000081919,0,0,0,0,0,1
ENSMUSG00000083331,0,0,0,0,0,0
ENSMUSG00000063730,1324,1238,1392,819,1156,1426
ENSMUSG00000062410,7518,7732,6026,8378,4716,7286
ENSMUSG00000027869,0,0,1,1,0,1
ENSMUSG00000083222,0,0,0,0,0,0
ENSMUSG00000082185,0,1,0,1,0,1
ENSMUSG00000082089,0,0,0,0,0,0
ENSMUSG00000083577,0,0,0,0,0,0
ENSMUSG00000082589,0,0,0,0,0,0
ENSMUSG00000027871,21,38,106,280,263,15
ENSMUSG00000027870,1425,1418,3040,3650,3136,1404
ENSMUSG00000085121,0,0,0,0,0,0
ENSMUSG00000086833,0,0,0,0,0,0
ENSMUSG00000083888,0,0,0,0,0,0
ENSMUSG00000065709,0,0,0,0,0,0
ENSMUSG00000088884,0,0,0,0,0,0
ENSMUSG00000004233,257,273,212,282,252,233
ENSMUSG00000105472,1,3,0,2,3,0
ENSMUSG00000105798,0,0,0,1,0,0
ENSMUSG00000098918,1,2,1,3,7,1
ENSMUSG00000106197,1,2,0,2,0,0
ENSMUSG00000027868,0,1,1,0,1,0
ENSMUSG00000105689,0,0,0,0,0,0
ENSMUSG00000081183,0,0,0,0,0,0
ENSMUSG00000080832,5,1,2,6,1,3
ENSMUSG00000083938,0,0,0,0,0,0
ENSMUSG00000064890,0,0,0,0,0,0
ENSMUSG00000027867,1,3,0,0,1,0
ENSMUSG00000080754,0,0,0,0,0,0
ENSMUSG00000082763,0,0,0,0,0,0
ENSMUSG00000085244,0,0,0,0,0,0
ENSMUSG00000033285,534,490,588,595,445,453
ENSMUSG00000027865,1129,985,1368,1591,1022,852
ENSMUSG00000064573,0,0,0,0,0,0
ENSMUSG00000081440,0,0,0,0,0,1
ENSMUSG00000086923,0,0,0,0,0,0
ENSMUSG00000106639,0,0,0,0,0,0
ENSMUSG00000044468,434,519,561,595,249,185
ENSMUSG00000053957,0,1,0,0,0,0
ENSMUSG00000104943,0,3,1,4,2,0
ENSMUSG00000008763,1891,2049,1620,2055,2536,2255
ENSMUSG00000105824,1,5,1,4,1,2
ENSMUSG00000105137,0,5,0,2,7,2
ENSMUSG00000105561,3,7,1,4,4,2
ENSMUSG00000106184,0,0,0,0,0,0
ENSMUSG00000083842,0,0,0,0,0,0
ENSMUSG00000106227,0,3,0,0,1,1
ENSMUSG00000087759,0,0,0,0,0,0
ENSMUSG00000051076,2,0,20,20,0,2
ENSMUSG00000033233,40,12,45,39,24,23
ENSMUSG00000033222,267,212,339,283,333,243
ENSMUSG00000082000,0,0,0,0,0,0
ENSMUSG00000086564,0,1,0,0,0,5
ENSMUSG00000027864,318,247,368,346,299,382
ENSMUSG00000105717,0,0,0,0,0,0
ENSMUSG00000082415,0,0,0,0,0,0
ENSMUSG00000083546,0,0,0,0,0,0
ENSMUSG00000081569,0,0,0,0,0,0
ENSMUSG00000027863,3,2,0,0,2,3
ENSMUSG00000072381,1,1,0,0,0,0
ENSMUSG00000106316,0,0,0,0,0,0
ENSMUSG00000042035,43,42,69,30,5,9
ENSMUSG00000104639,0,0,0,0,0,0
ENSMUSG00000105611,0,0,0,0,0,0
ENSMUSG00000106137,0,0,0,0,0,0
ENSMUSG00000033161,21162,20501,18819,18559,22760,28049
ENSMUSG00000104737,12,5,2,7,9,6
ENSMUSG00000104693,2,8,2,1,1,2
ENSMUSG00000106070,0,0,0,0,0,0
ENSMUSG00000105642,0,0,0,0,0,0
ENSMUSG00000044313,1,1,3,3,1,5
ENSMUSG00000033147,422,385,399,323,290,385
ENSMUSG00000048540,0,0,0,0,0,0
ENSMUSG00000104930,0,0,0,0,0,0
ENSMUSG00000105346,0,0,0,0,0,0
ENSMUSG00000027861,1,1,0,0,0,0
ENSMUSG00000105342,0,0,0,0,0,0
ENSMUSG00000106296,0,0,0,0,0,0
ENSMUSG00000027860,382,257,608,547,271,436
ENSMUSG00000089916,0,0,0,0,1,0
ENSMUSG00000105151,0,0,0,1,0,0
ENSMUSG00000105891,2,0,2,0,3,1
ENSMUSG00000105966,0,0,0,0,0,0
ENSMUSG00000106459,0,0,1,0,0,0
ENSMUSG00000027859,22,35,16,27,4,36
ENSMUSG00000106121,0,0,1,3,0,0
ENSMUSG00000104619,0,0,0,0,0,0
ENSMUSG00000104685,0,0,0,0,0,0
ENSMUSG00000105498,0,0,0,0,0,0
ENSMUSG00000105570,0,0,0,0,0,0
ENSMUSG00000086745,0,0,0,0,0,0
ENSMUSG00000027858,54,61,37,20,10,23
ENSMUSG00000027857,4,0,0,1,0,0
ENSMUSG00000105855,0,0,0,0,0,0
ENSMUSG00000027855,0,0,1,0,0,0
ENSMUSG00000105672,0,0,0,0,0,0
ENSMUSG00000106545,0,0,0,0,0,0
ENSMUSG00000105938,0,0,0,0,0,0
ENSMUSG00000048938,27,25,21,22,6,17
ENSMUSG00000065708,0,0,0,0,0,0
ENSMUSG00000027854,630,482,491,461,659,528
ENSMUSG00000068823,5805,5776,5059,5461,6064,5823
ENSMUSG00000027852,990,584,895,565,656,516
ENSMUSG00000104671,1,5,0,2,0,6
ENSMUSG00000070385,0,0,0,0,0,3
ENSMUSG00000089075,0,0,0,0,0,0
ENSMUSG00000105731,0,0,0,0,0,0
ENSMUSG00000007379,32,30,21,10,8,6
ENSMUSG00000005687,723,617,672,769,751,730
ENSMUSG00000098153,0,0,0,0,0,0
ENSMUSG00000054379,0,0,0,0,0,0
ENSMUSG00000104976,0,0,0,0,0,0
ENSMUSG00000033014,958,993,892,999,1037,948
ENSMUSG00000104925,0,1,0,1,0,0
ENSMUSG00000089029,0,0,0,0,0,0
ENSMUSG00000065789,0,0,0,0,0,0
ENSMUSG00000065029,0,0,0,0,0,0
ENSMUSG00000027849,0,0,0,0,0,0
ENSMUSG00000104764,0,0,0,0,0,0
ENSMUSG00000087119,3,2,4,7,0,8
ENSMUSG00000084508,0,0,0,0,0,0
ENSMUSG00000081910,0,0,0,0,0,0
ENSMUSG00000027848,47,45,34,44,4,41
ENSMUSG00000078620,2,4,0,1,3,0
ENSMUSG00000008730,2674,3541,2396,3307,3513,3153
ENSMUSG00000105229,0,0,0,0,0,0
ENSMUSG00000085754,1,0,0,0,0,0
ENSMUSG00000104874,0,0,0,0,0,0
ENSMUSG00000027845,320,402,277,384,283,324
ENSMUSG00000084997,0,0,0,0,0,0
ENSMUSG00000032952,57,64,28,77,44,76
ENSMUSG00000105053,0,0,1,0,0,0
ENSMUSG00000044165,0,2,3,0,0,1
ENSMUSG00000027843,32,97,17,14,7,15
ENSMUSG00000084760,0,1,0,0,0,0
ENSMUSG00000105986,0,0,0,0,0,0
ENSMUSG00000083630,0,0,0,0,0,0
ENSMUSG00000044098,259,298,176,278,297,236
ENSMUSG00000089998,0,5,1,1,1,3
ENSMUSG00000058388,217,217,198,152,198,222
ENSMUSG00000052539,2129,2162,1998,2202,1471,1520
ENSMUSG00000104721,0,0,2,0,0,0
ENSMUSG00000106371,0,0,0,0,0,0
ENSMUSG00000088016,0,0,0,1,0,0
ENSMUSG00000105148,0,0,0,0,0,0
ENSMUSG00000105083,0,0,0,2,0,0
ENSMUSG00000105793,0,1,0,0,0,2
ENSMUSG00000106443,0,1,1,0,0,2
ENSMUSG00000104583,0,0,0,0,0,0
ENSMUSG00000105846,0,0,0,0,0,0
ENSMUSG00000106063,0,0,0,0,0,0
ENSMUSG00000106432,0,0,0,0,0,0
ENSMUSG00000105933,2,1,0,0,0,0
ENSMUSG00000105818,0,0,0,0,0,1
ENSMUSG00000088479,0,0,0,0,0,0
ENSMUSG00000022187,0,2,0,0,0,1
ENSMUSG00000032913,342,266,320,318,412,285
ENSMUSG00000104768,0,0,0,0,0,0
ENSMUSG00000106453,0,0,0,0,0,0
ENSMUSG00000105304,2,3,3,0,3,2
ENSMUSG00000104973,2,3,5,7,12,9
ENSMUSG00000105659,0,0,0,0,1,0
ENSMUSG00000084653,0,0,0,0,0,0
ENSMUSG00000106565,0,0,0,0,0,1
ENSMUSG00000032902,1827,1881,3428,3710,2941,1786
ENSMUSG00000105199,2,3,2,3,5,0
ENSMUSG00000106287,0,7,4,1,2,1
ENSMUSG00000100188,0,0,0,0,0,0
ENSMUSG00000101641,0,0,0,0,0,0
ENSMUSG00000089452,0,0,0,0,0,0
ENSMUSG00000100466,0,0,0,0,0,0
ENSMUSG00000089999,9,8,14,11,3,4
ENSMUSG00000105195,0,0,1,0,0,0
ENSMUSG00000055865,5,1,0,0,0,1
ENSMUSG00000002228,5,2,7,1,3,1
ENSMUSG00000002233,288,247,401,161,347,255
ENSMUSG00000002227,1910,1069,2806,1899,1416,1825
ENSMUSG00000070372,1107,1220,811,671,893,948
ENSMUSG00000106251,2,4,3,1,5,0
ENSMUSG00000105655,8,13,7,8,11,7
ENSMUSG00000045576,872,972,815,814,1006,836
ENSMUSG00000106105,1,0,2,0,2,0
ENSMUSG00000027840,14,29,12,19,16,11
ENSMUSG00000105925,0,0,0,0,0,1
ENSMUSG00000105355,0,0,0,1,0,0
ENSMUSG00000062127,329,540,223,164,90,189
ENSMUSG00000051788,0,0,0,0,0,0
ENSMUSG00000074346,0,0,0,0,0,0
ENSMUSG00000040896,0,0,1,0,0,1
ENSMUSG00000105753,0,0,0,0,0,0
ENSMUSG00000027905,317,269,354,326,441,380
ENSMUSG00000048458,7,2,3,4,2,4
ENSMUSG00000106317,9,15,11,11,5,9
ENSMUSG00000068798,1420,1560,1326,1329,1235,1397
ENSMUSG00000105677,15,25,15,15,20,14
ENSMUSG00000105842,3,1,0,1,0,0
ENSMUSG00000106341,0,0,0,0,1,0
ENSMUSG00000104910,0,0,0,0,0,0
ENSMUSG00000104835,1,1,1,0,0,1
ENSMUSG00000000562,2,0,3,0,3,1
ENSMUSG00000074344,0,1,0,0,0,0
ENSMUSG00000074342,26,25,14,20,8,18
ENSMUSG00000000563,9897,9130,10077,9843,11110,10369
ENSMUSG00000000561,263,270,218,256,202,173
ENSMUSG00000105852,0,5,0,4,1,3
ENSMUSG00000074340,6,16,2,17,18,12
ENSMUSG00000010136,0,0,0,0,0,0
ENSMUSG00000106093,0,0,0,0,0,1
ENSMUSG00000104592,0,0,0,0,0,0
ENSMUSG00000043873,1,0,0,0,0,0
ENSMUSG00000092072,6,13,6,13,6,11
ENSMUSG00000105277,0,0,0,0,0,0
ENSMUSG00000105051,0,0,0,0,0,0
ENSMUSG00000062778,0,1,0,0,0,1
ENSMUSG00000040809,26,22,30,17,23,17
ENSMUSG00000104855,0,0,0,0,0,0
ENSMUSG00000063779,0,0,0,0,0,0
ENSMUSG00000106373,0,0,0,0,0,0
ENSMUSG00000105436,0,0,0,0,0,0
ENSMUSG00000027902,0,0,0,0,0,0
ENSMUSG00000104350,4,0,0,0,0,3
ENSMUSG00000091575,7,17,13,9,13,7
ENSMUSG00000027901,340,390,477,407,265,392
ENSMUSG00000040774,1946,2157,2243,2407,2094,1886
ENSMUSG00000027900,2371,2523,2268,2784,2424,2682
ENSMUSG00000106592,5,1,0,1,0,0
ENSMUSG00000105272,44,64,27,48,59,27
ENSMUSG00000103053,1,0,0,0,0,0
ENSMUSG00000056260,374,330,295,323,320,336
ENSMUSG00000102780,16,31,9,18,10,6
ENSMUSG00000040747,270,411,140,124,48,191
ENSMUSG00000043529,0,0,0,0,0,0
ENSMUSG00000105102,0,0,0,0,0,0
ENSMUSG00000098108,0,1,0,0,0,0
ENSMUSG00000047959,0,1,0,3,3,1
ENSMUSG00000056145,1,3,2,4,1,1
ENSMUSG00000050179,0,0,0,0,0,0
ENSMUSG00000040724,186,318,68,111,47,158
ENSMUSG00000042861,0,0,0,0,0,0
ENSMUSG00000046213,1,1,7,7,1,2
ENSMUSG00000094613,36,12,61,38,8,3
ENSMUSG00000070368,312,54,557,302,69,11
ENSMUSG00000087260,383,342,432,415,384,371
ENSMUSG00000027896,8,12,3,9,13,7
ENSMUSG00000048109,528,783,799,807,754,768
ENSMUSG00000105532,0,0,0,1,0,0
ENSMUSG00000084640,0,0,0,0,0,0
ENSMUSG00000027895,0,0,0,0,0,0
ENSMUSG00000027894,0,0,0,0,0,0
ENSMUSG00000055891,0,0,0,0,0,0
ENSMUSG00000014603,0,0,0,0,0,0
ENSMUSG00000014601,684,517,866,661,709,637
ENSMUSG00000078604,2,0,2,0,0,1
ENSMUSG00000027893,3600,3085,3561,3940,4461,3906
ENSMUSG00000014599,631,283,725,352,347,404
ENSMUSG00000106531,0,0,0,0,0,0
ENSMUSG00000106426,0,0,0,0,0,0
ENSMUSG00000105944,1,5,0,3,2,1
ENSMUSG00000106359,0,0,0,0,0,0
ENSMUSG00000040600,0,0,0,0,0,1
ENSMUSG00000105456,0,0,0,0,0,0
ENSMUSG00000086968,88,64,104,90,97,69
ENSMUSG00000004032,246,255,354,358,311,350
ENSMUSG00000105872,0,0,0,0,0,0
ENSMUSG00000082720,0,2,0,0,0,0
ENSMUSG00000004035,2472,2045,2065,2301,2127,2290
ENSMUSG00000068762,972,1193,1136,1976,1068,1972
ENSMUSG00000089664,0,1,1,0,1,3
ENSMUSG00000004038,1624,3608,1440,4151,1502,9092
